Area,Value,Year
Oceania,35.223553912483666,2001
Oceania,37.13390833181699,2002
Oceania,37.077656531412224,2003
Oceania,38.10267120553069,2004
Oceania,36.77496099843994,2005
Oceania,37.00084978486459,2006
Oceania,37.99464017402615,2007
Oceania,39.59924254001033,2008
Oceania,38.88287882541041,2009
Oceania,38.14322355774309,2010
Oceania,38.270348472260686,2011
Oceania,40.58895583824142,2012
Oceania,40.70822189734335,2013
Oceania,41.46797881594433,2014
Oceania,41.33966456539566,2015
Oceania,42.36446071447416,2016
Oceania,41.26115324390626,2017
Oceania,42.05167401979112,2018
Oceania,40.388939624907614,2019
Oceania,42.35135296406798,2020
Oceania,42.581735236495945,2021
South America,7.1754937277504665,1961
South America,6.814700909626433,1962
South America,6.7070897252876716,1963
South America,7.079386033338534,1964
South America,7.864041883418463,1965
South America,7.270440387788779,1966
South America,7.662630443397473,1967
South America,7.920583767318074,1968
South America,8.04675449201651,1969
South America,8.398745305524718,1970
South America,8.729054020096788,1971
South America,7.7846549898901705,1972
South America,8.30444014185019,1973
South America,9.408469905938023,1974
South America,8.824949907566586,1975
South America,9.102260791225033,1976
South America,9.474405511137846,1977
South America,9.366475100438675,1978
South America,9.47321182743386,1979
South America,9.319290465631928,1980
South America,10.62934142196954,1981
South America,10.561167344419765,1982
South America,10.573064495038798,1983
South America,11.561440746447158,1984
South America,11.425103597557944,1985
South America,10.908683593390165,1986
South America,11.32390321196316,1987
South America,12.489328940077776,1988
South America,12.192770397782315,1989
South America,11.981621931915042,1990
South America,11.820571949725508,1991
South America,11.844862392262215,1992
South America,12.294682888524472,1993
South America,12.873338434455045,1994
South America,13.220790298663118,1995
South America,12.928128012704969,1996
South America,13.750863020881216,1997
South America,13.762001717623152,1998
South America,14.095383438039473,1999
South America,13.490115549895824,2000
South America,14.679043459433284,2001
South America,14.587784130064447,2002
South America,14.977826257799139,2003
South America,14.909282768658526,2004
South America,14.93159028948554,2005
South America,15.318341082855039,2006
South America,15.339780598899857,2007
South America,15.748981807547901,2008
South America,15.44343772326356,2009
South America,15.753756044776939,2010
South America,16.637738227245226,2011
South America,16.569069183165457,2012
South America,16.486136120321493,2013
South America,17.34086694238681,2014
South America,17.427162752285632,2015
South America,18.090321457713937,2016
South America,18.82413643231508,2017
South America,19.0248792781296,2018
South America,19.572049977710794,2019
South America,19.628926832975957,2020
South America,19.610230614187095,2021
